system,node_key,indicator,top_feature,depth,n_ratings,chi2,kl,cov94,obs_p0,obs_p1,obs_p2,obs_p3,obs_p4,obs_p5,obs_p6,pred_p0,pred_p1,pred_p2,pred_p3,pred_p4,pred_p5,pred_p6
Chicken,Global Workspace Theory > Coherence > Autonomous Subparts > Learning Transfer,Learning Transfer,Coherence,3,2,13.73688815615482,2.0628603399708605,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2507377297460127,0.08168104774522017,0.10299777317694386,0.16224738572658498,0.14229174532932282,0.13295438917720825,0.12708992909870714
Chicken,Global Workspace Theory > Coherence > Social Coherence > Persistence Seeking,Persistence Seeking,Coherence,3,2,5.2633302136319475,1.2891465744155652,True,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.2489358910272025,0.08153144935466514,0.10265747269123617,0.1619218598394731,0.1423757724343738,0.13328013627765878,0.1292974183753905
Chicken,Global Workspace Theory > Coherence > Point of View > Perspective-relative Representations,Perspective-relative Representations,Coherence,3,2,6.051235033965854,1.3926783194712546,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2484090939542285,0.08142996267819282,0.10280317690254927,0.16221470391035192,0.14283497257956698,0.13376597614666513,0.12854211382844552
Chicken,Global Workspace Theory > Coherence > Point of View > Stable Personality,Stable Personality,Coherence,3,2,22.09265192863998,2.4887597142188875,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2602288596570431,0.0830128624247675,0.10369129102261168,0.16159536137856598,0.14015399308345575,0.1293703972491694,0.12194723518438653
Chicken,Global Workspace Theory > Coherence > Social Coherence > Stable Personality,Stable Personality,Coherence,3,2,5.7396884323740505,1.3530054482571434,True,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.25294676211917966,0.08204800551128089,0.10305815617423626,0.16180346983084742,0.1416273357239683,0.1318993074219283,0.1266169632185591
Chicken,Global Workspace Theory > Coherence > Social Coherence > Stable Social Interactions,Stable Social Interactions,Coherence,3,2,6.083929227196422,1.246904326200891,True,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.25186059504641384,0.08198463111407814,0.10302180511883509,0.16190582320973051,0.14190598551430555,0.13223404261283594,0.12708711738380088
Chicken,Global Workspace Theory > Coherence > Common Representational Scheme > Unified Egocentric Representations,Unified Egocentric Representations,Coherence,3,2,5.720935944279377,1.3507884124338314,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25903595295099513,0.08291790831737228,0.10369183199808849,0.16165275974122525,0.14043034884089056,0.12978601108256374,0.12248518706886448
Chicken,Global Workspace Theory > Complexity > Informational Complexity > Compressibility,Compressibility,Complexity,3,1,5.9685182769319365,1.9414026163668323,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.24480298525219624,0.08105899047813858,0.10240880523701716,0.1623261555081478,0.14350252955643747,0.13477282407153293,0.13112770989652978
Chicken,Global Workspace Theory > Complexity > Functional Diversity > Diversity of Tasks,Diversity of Tasks,Complexity,3,2,5.876391478827909,1.2140196907756162,True,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.26378762780262405,0.08359907672112678,0.10412654500172433,0.1615608299921286,0.1395316925096997,0.1280320884923656,0.11936213948033103
Chicken,Global Workspace Theory > Complexity > Structural Complexity > Functional Specialization,Functional Specialization,Complexity,3,2,8.901405099372516,1.6893403686557655,True,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.254681469670769,0.0824319598062638,0.10339558222758129,0.16201617424522483,0.14145588352584676,0.13116321304512354,0.12485571747919078
Chicken,Global Workspace Theory > Complexity > Structural Complexity > Number of Connections,Number of Connections,Complexity,3,2,6.867331168793554,1.4852005266423143,True,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.25683785682254184,0.08262547602088502,0.10350424376652775,0.1618088763944866,0.14084017967316845,0.13051709568469747,0.1238662716376927
Chicken,Global Workspace Theory > Complexity > Structural Complexity > Number of Layers,Number of Layers,Complexity,3,2,5.719618819757396,1.3506178065786267,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25908014977128807,0.08284424044052681,0.10368870599448615,0.16173516250145537,0.1405086560370123,0.12980866934611915,0.12233441590911225
Chicken,Global Workspace Theory > Complexity > Structural Complexity > Number of Nodes,Number of Nodes,Complexity,3,2,5.787014051366537,1.3593103004979652,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25683785682254184,0.08262547602088502,0.10350424376652775,0.1618088763944866,0.14084017967316845,0.13051709568469747,0.1238662716376927
Chicken,Global Workspace Theory > Complexity > Informational Complexity > Optimized Componentry,Optimized Componentry,Complexity,3,2,13.803994376094966,2.0671155361358684,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.251369380515091,0.0818995632500818,0.10301133272603036,0.162236316542691,0.14225100747794028,0.1326821140093761,0.12655028547878938
Chicken,Global Workspace Theory > Complexity > Functional Diversity > Variability of Responses to Stimuli,Variability of Responses to Stimuli,Complexity,3,2,3.0247046426282784,0.8940588199961019,True,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.25844299756108696,0.08295517882759194,0.10369332808348528,0.16181009581494923,0.1406096153060013,0.1297624334865344,0.12272635092035086
Chicken,Global Workspace Theory > Hierarchical Organization > Concrete-Abstract Separation,Concrete-Abstract Separation,Hierarchical Organization,2,1,8.129072839849396,2.2114641385027385,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2821310074242189,0.08575219610823932,0.10521968291370815,0.16029332020759324,0.1356197374073875,0.12144390684124781,0.10954014909760508
Chicken,Global Workspace Theory > Integration > Holistic Dependency,Holistic Dependency,Integration,2,2,15.927832999083499,2.193207240806244,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2766555316500235,0.08510883781712898,0.10503691160285587,0.16104280872399188,0.1370161594251116,0.12358137113164433,0.11155837964924391
Chicken,Global Workspace Theory > Integration > Wiring Convergence,Wiring Convergence,Integration,2,2,5.515793816542158,1.3228599297988373,True,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.26635232189448205,0.08378365691295617,0.10423268398167232,0.16158031128865893,0.1392772637852351,0.12736152391080344,0.11741223822619208
Chicken,Global Workspace Theory > Modularity > Cross-Modal Learning Deficits,Cross-Modal Learning Deficits,Modularity,2,2,4.479924193032529,1.0541917179469535,True,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.28804789697070693,0.08628662545869344,0.10539402921791365,0.1598412717341361,0.13416719117139667,0.11967155374522656,0.1065914317019265
Chicken,Global Workspace Theory > Modularity > Dedicated Action Systems,Dedicated Action Systems,Modularity,2,2,2.8626110935008082,0.8461344151440024,True,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.2875417615041384,0.08628937221766289,0.10555606095732904,0.16006488422910456,0.13441931894535494,0.11978195910389251,0.1063466430425177
