rung_id,rung,rung_description,sweep_beta_pres,sweep_beta_abs,system,n_cases,n_replicates,median_log_B_eff_R1,median_log_B_eff_R0,mean_rho_R1,mean_rho_R0,evidence_margin_M,evidence_margin_bootstrap_ci_low,evidence_margin_bootstrap_ci_high,evidence_margin_bootstrap_ci_crosses_0,balanced_log_score_improvement_vs_prior,balanced_brier_improvement_vs_prior,TPR_at_rho_gt_0p5,TNR_at_rho_le_0p5,balanced_accuracy,pass_fail_label
L3,L3,"actual GWT topology, all edges 0.90/0.10, binary noisy leaves",,,ALL,1000,500,10.735658159543632,-10.178362268285774,0.9819118346044027,0.004568051710192962,8.843361201585774,8.679812428179968,9.080224148140141,False,0.9682350595110627,0.35633740938093433,0.988,0.998,0.993,pass
L3,L3,"actual GWT topology, all edges 0.90/0.10, binary noisy leaves",,,Chicken,500,500,10.310699594910908,-10.166781674080461,0.9884212779677114,0.005230409822047759,8.701261682476808,8.476825392826855,8.959724591363875,False,0.9768536178640023,0.35871627073313284,0.992,0.996,0.994,pass
L3,L3,"actual GWT topology, all edges 0.90/0.10, binary noisy leaves",,,LLMs,500,500,11.21277845531693,-10.201520663205741,0.9754023912410941,0.003905693598338165,8.866519596505741,8.664307410736194,9.4053340894561,False,0.9596165011581229,0.35395854802873583,0.984,1.0,0.992,pass
L4,L4,"actual GWT topology, targeted_strong_lower_override, binary noisy leaves",,,ALL,1000,500,2.3450971950497745,-2.6071530239070952,0.6326840268990134,0.07637941849351035,0.7356592826156743,0.5173224544878068,1.0507368228278213,False,0.571055299764017,0.23206502159724587,0.696,0.958,0.827,pass
L4,L4,"actual GWT topology, targeted_strong_lower_override, binary noisy leaves",,,Chicken,500,500,2.3635705652630037,-2.5278598156737857,0.6311089340854282,0.07607284384093788,0.7541326528289034,0.49931054959518206,1.1579824425188023,False,0.5656818600163076,0.23080038457447127,0.704,0.956,0.83,pass
L4,L4,"actual GWT topology, targeted_strong_lower_override, binary noisy leaves",,,LLMs,500,500,2.307568391773941,-2.8740806796117226,0.6342591197125986,0.0766859931460828,0.6981304793398408,0.4057823713243016,1.1886150798672046,False,0.5764287395117265,0.23332965862002042,0.688,0.96,0.824,pass
L5,L5,"targeted_strong_lower_override, binary latent leaf plus ordinal probit, nuisance clamped to truth",,,ALL,1000,500,2.4783367766278843,-2.524947070832937,0.6423941396853179,0.07968667521281611,0.868898864193784,0.6256588579293365,1.2196009955844949,False,0.5775546255043132,0.23348485385401332,0.708,0.96,0.834,pass
L5,L5,"targeted_strong_lower_override, binary latent leaf plus ordinal probit, nuisance clamped to truth",,,Chicken,500,500,2.349209461551226,-2.5300741400168363,0.6306169243248158,0.0761053241245982,0.7397715491171255,0.49226591289346266,1.1663787758416462,False,0.5663467193458218,0.23068811980819443,0.704,0.956,0.83,pass
L5,L5,"targeted_strong_lower_override, binary latent leaf plus ordinal probit, nuisance clamped to truth",,,LLMs,500,500,2.598251054411918,-2.514225731917122,0.65417135504582,0.08326802630103404,0.9888131419778177,0.7136989654922445,1.3214778011641661,False,0.5887625316628045,0.23628158789983222,0.712,0.964,0.838,pass
L6,L6,"targeted_strong_lower_override, production three-state ordinal leaf, nuisance clamped to truth",,,ALL,1000,500,2.5826324688285354,-2.9505000144651206,0.6608303760900437,0.07392758558609991,0.9731945563944351,0.7761706001075936,1.1184424982124894,False,0.5997547976971082,0.24136902815486885,0.734,0.962,0.848,pass
L6,L6,"targeted_strong_lower_override, production three-state ordinal leaf, nuisance clamped to truth",,,Chicken,500,500,2.4483699171413775,-2.956955401262178,0.6489820488528529,0.07592154374119141,0.8389320047072772,0.5368796771365283,1.1097945995923795,False,0.5826729190232838,0.23644719459846425,0.716,0.952,0.834,pass
L6,L6,"targeted_strong_lower_override, production three-state ordinal leaf, nuisance clamped to truth",,,LLMs,500,500,2.676442893714068,-2.9109758598004305,0.6726787033272347,0.07193362743100841,1.0670049812799676,0.8028530385189356,1.5173164854314678,False,0.6168366763709323,0.24629086171127346,0.752,0.972,0.862,pass
