seed_idx,rung,rung_id,rung_description,fit_type,replicate_id,seed,sub_seed,system,system_raw,root_z_true,log_L0,log_L1,log_B,log_B_eff,rho_collapsed,rho,brier,log_score,brier_improvement_vs_prior,log_score_improvement_vs_prior,evidence_category,correct_sign,classified_present_at_0p5,brier_improvement,log_score_improvement,sweep_beta_pres,sweep_beta_abs,unique_observation_values,mean_leaf_loglik_z0,mean_leaf_loglik_z1
15,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,15,20260511,35260556,Chicken,Chicken,0,-11.703031987045312,-15.889488222385458,-4.186456235340145,-4.186456235340145,0.003030797334808341,0.003030797334808341,9.185732484681344e-06,-0.003035399502227556,0.027768592045293094,0.17928615729172706,strong_absent,True,False,0.027768592045293094,0.17928615729172706,,,"0,1",-5.460527979866574,-12.821625427782674
15,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,15,20260511,35260556,LLMs,2024 Leading Chat LLMs,1,-21.75615315696248,-19.682371680287464,2.0737814766750162,2.0737814766750162,0.6140440831265178,0.6140440831265178,0.1489619697696503,-0.4876885567892556,0.5454824746747943,1.3040709124387995,moderate_present,True,True,0.5454824746747943,1.3040709124387995,,,"0,1",-10.613296193407844,-7.668857214241404
16,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,16,20260511,36260559,Chicken,Chicken,1,-20.92715437643366,-12.554235196266717,8.372919180166942,8.372919180166942,0.9988461323454885,0.9988461323454885,1.3314105641279423e-06,-0.0011545338723276963,0.6944431130338804,1.7906049353557272,strong_present,True,True,0.6944431130338804,1.7906049353557272,,,"0,1",-16.87022902413653,-1.4119243835127182
16,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,16,20260511,36260559,LLMs,2024 Leading Chat LLMs,0,-5.81415576438554,-12.093860244010473,-6.279704479624933,-6.279704479624933,0.00037465044525330257,0.00037465044525330257,1.4036295612849786e-07,-0.0003747206442653084,0.027777637414821647,0.18194683614968932,strong_absent,True,False,0.027777637414821647,0.18194683614968932,,,"0,1",-2.5160890007001337,-15.766064406949116
17,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,17,20260511,37260562,Chicken,Chicken,0,-12.554235196260388,-20.927154376017274,-8.372919179756886,-8.372919179756886,4.620588906098417e-05,4.620588906098417e-05,2.134984183915977e-09,-4.6206956585960215e-05,0.027777775642793594,0.18227534983736865,strong_absent,True,False,0.027777775642793594,0.18227534983736865,,,"0,1",-1.4119243835127182,-16.87022902413653
17,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,17,20260511,37260562,LLMs,2024 Leading Chat LLMs,1,-17.982723049343484,-9.609797160509997,8.372925888833487,8.372925888833487,0.998846140077444,0.998846140077444,1.3313927208809635e-06,-0.0011545261314402464,0.6944431130517237,1.7906049430966147,strong_present,True,True,0.6944431130517237,1.7906049430966147,,,"0,1",-17.238283896532337,-1.0438695111169132
18,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,18,20260511,38260565,Chicken,Chicken,1,-12.945056895711664,-8.758593951294921,4.186462944416743,4.186462944416743,0.929368232792429,0.929368232792429,0.004988846538864506,-0.07325024325496296,0.68945559790558,1.718509225973092,moderate_present,True,True,0.68945559790558,1.718509225973092,,,"0,1",-13.18968030017848,-5.092473107470769
18,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,18,20260511,38260565,LLMs,2024 Leading Chat LLMs,0,-11.702692266541503,-17.979971969688762,-6.27727970314726,-6.27727970314726,0.00037555964952864243,0.00037555964952864243,1.4104505035407674e-07,-0.0003756301897157376,0.027777636732727422,0.1819459266042389,strong_absent,True,False,0.027777636732727422,0.1819459266042389,,,"0,1",-3.252198745491744,-15.029954662157506
19,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,19,20260511,39260568,Chicken,Chicken,0,-13.795926941930485,-17.979971818536104,-4.184044876605618,-4.184044876605618,0.0030380922628335584,0.0030380922628335584,9.23000459748913e-06,-0.0030427166336842964,0.027768547773180288,0.17927884016027032,strong_absent,True,False,0.027768547773180288,0.17927884016027032,,,"0,1",-5.4605279798665745,-12.821625427782676
19,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,19,20260511,39260568,LLMs,2024 Leading Chat LLMs,1,-26.81326595179669,-18.44277169613235,8.37049425566434,8.37049425566434,0.998843334148603,0.998843334148603,1.3378758917878406e-06,-0.0011573353056158597,0.6944431065685528,1.7906021339224392,strong_present,True,True,0.6944431065685528,1.7906021339224392,,,"0,1",-16.13411927934492,-2.1480341283043285
20,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,20,20260511,40260571,Chicken,Chicken,1,-19.682364971623226,-19.684803313458918,-0.002438341835691915,-0.002438341835691915,0.16632828327748936,0.16632828327748936,0.695008531263058,-1.7937918334168126,-0.0005640868186134185,-0.0020323641887576294,ambiguous,False,False,-0.0005640868186134185,-0.0020323641887576294,,,"0,1",-7.668857214241404,-10.613296193407844
20,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,20,20260511,40260571,LLMs,2024 Leading Chat LLMs,0,-14.64712374478434,-18.8311753300565,-4.18405158527216,-4.18405158527216,0.0030380719432744124,0.0030380719432744124,9.229881132511165e-06,-0.0030426962522045417,0.027768547896645266,0.17927886054175007,strong_absent,True,False,0.027768547896645266,0.17927886054175007,,,"0,1",-5.092473107470769,-13.18968030017848
