rung,rung_description,beta_profile,replicate_id,replicate_seed,system,system_raw,root_z_true,log_L0,log_L1,log_B_eff,rho,evidence_category,correct_sign,decisive_for_true_root,log_score_improvement,brier_improvement,n_top_children,n_top_present,log_B_top_latent,log_B_top_min,log_B_top_max,top_latent_category,n_observed_leaves,n_observed_ratings,n_raters
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,17,20260528,LLMs,2024 Leading Chat LLMs,1,-87.81130244202977,-86.73444459910114,1.0768578429286322,0.36991532908213975,ambiguous,True,False,0.7972783293777058,0.2974377519187763,7,6,3.2141928769638186,-6.400011321753554,5.293634418643655,moderate_present,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,18,20260529,Chicken,Chicken,1,-81.72787932322623,-81.59224850829003,0.13563081493620643,0.18636464345220818,ambiguous,True,False,0.11170939345529773,0.03244195101979219,7,4,1.0547086276104463,-6.400011321753554,5.293634418643655,ambiguous,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,18,20260529,LLMs,2024 Leading Chat LLMs,0,-83.34850289324588,-84.29400253142641,-0.9454996381805358,0.0720954758074393,ambiguous,True,False,0.10749512189196785,0.02258002014587671,7,5,0.32382111906765365,-6.400011321753554,5.293634418643655,ambiguous,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,19,20260530,Chicken,Chicken,0,-74.67406149193582,-74.91582458505005,-0.24176309311422983,0.13573194685983725,ambiguous,True,False,0.0364492451893238,0.009354616379416092,7,2,-5.626821433520074,-6.400011321753554,5.293634418643655,strong_absent,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,19,20260530,LLMs,2024 Leading Chat LLMs,1,-75.63841287034349,-74.9643502345744,0.67406263576909,0.2818354610123359,ambiguous,True,False,0.5253276193107823,0.17868413938508043,7,6,4.600487238083709,-6.400011321753554,5.293634418643655,strong_present,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,20,20260531,Chicken,Chicken,1,-91.6342374130708,-89.01438508250116,2.6198523305696426,0.7331012437029439,moderate_present,True,True,1.4812880049723747,0.6232094983315292,7,7,5.293634418643655,-6.400011321753554,5.293634418643655,strong_present,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,20,20260531,LLMs,2024 Leading Chat LLMs,0,-88.41908012816006,-90.25650385391177,-1.8374237257517052,0.030862589964393814,moderate_absent,True,True,0.15097268567135763,0.026825278318467476,7,2,-5.626821433520074,-6.400011321753554,5.293634418643655,strong_absent,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,21,20260532,Chicken,Chicken,0,-81.7800852347232,-81.14627824617128,0.6338069885519246,0.27375956353707265,ambiguous,False,False,-0.13755258249027674,-0.047166520850230736,7,2,-5.626821433520074,-6.400011321753554,5.293634418643655,strong_absent,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,21,20260532,LLMs,2024 Leading Chat LLMs,1,-84.0182937844522,-84.72193387095213,-0.7036400864999308,0.0900456230036378,ambiguous,False,False,-0.6156793456028602,-0.13357252377039308,7,3,-3.141914783732073,-6.400011321753554,5.293634418643655,strong_absent,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,22,20260533,Chicken,Chicken,1,-117.56149202652553,-118.08962803911663,-0.528136012591105,0.10549811497980081,ambiguous,False,False,-0.4573027244876262,-0.10568917786024523,7,6,3.2141928769638186,-6.400011321753554,5.293634418643655,moderate_present,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,22,20260533,LLMs,2024 Leading Chat LLMs,0,-107.65774451004631,-109.20461027305906,-1.5468657630127467,0.040843613100360845,moderate_absent,True,True,0.14062041228836689,0.02610957704668581,7,2,-5.626821433520074,-6.400011321753554,5.293634418643655,strong_absent,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,23,20260534,Chicken,Chicken,0,-93.94450383854172,-94.96240924556291,-1.017905407021189,0.0673992486713374,ambiguous,True,False,0.1125434678137026,0.023235119056316998,7,3,-3.141914783732073,-6.400011321753554,5.293634418643655,strong_absent,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,23,20260534,LLMs,2024 Leading Chat LLMs,1,-85.13201223497417,-84.18419679065944,0.9478154443147275,0.3403752408228568,ambiguous,True,False,0.7140528487617559,0.25933962152494044,7,5,2.1155805882957086,-6.400011321753554,5.293634418643655,moderate_present,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,24,20260535,Chicken,Chicken,1,-80.4092451068196,-80.37614554242525,0.033099564394348135,0.17131468651637677,ambiguous,True,False,0.027506327548168175,0.007725095660993664,7,5,4.195022129975546,-6.400011321753554,5.293634418643655,moderate_present,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,24,20260535,LLMs,2024 Leading Chat LLMs,0,-89.46197515786021,-91.40523076343227,-1.9432556055720624,0.027849556773188178,moderate_absent,True,True,0.154076847277852,0.027002179965314746,7,2,-3.9151046719655547,-6.400011321753554,5.293634418643655,strong_absent,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,25,20260536,Chicken,Chicken,0,-92.35748248499637,-91.67434477931224,0.6831377056841319,0.2836759248129099,ambiguous,False,False,-0.15130103865222488,-0.05269425254068193,7,4,-2.854232711280292,-6.400011321753554,5.293634418643655,moderate_absent,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,25,20260536,LLMs,2024 Leading Chat LLMs,1,-92.67095413182048,-92.08829324372587,0.5826608880946083,0.2637094221595374,ambiguous,True,False,0.45885201356803984,0.15232062942780222,7,4,-1.062473242052237,-6.400011321753554,5.293634418643655,ambiguous,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,26,20260537,Chicken,Chicken,1,-112.48490171255007,-111.12949413003476,1.355407582515312,0.43683174742382835,ambiguous,True,False,0.9635522938665257,0.3772859637347459,7,4,1.3423907000622288,-6.400011321753554,5.293634418643655,ambiguous,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,26,20260537,LLMs,2024 Leading Chat LLMs,0,-107.82960755491133,-107.48186269995936,0.3477448549519693,0.2206825794908042,ambiguous,False,False,-0.06701528754104205,-0.020923023112937332,7,2,-3.5473798918402357,-6.400011321753554,5.293634418643655,strong_absent,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,27,20260538,Chicken,Chicken,0,-94.60682172545948,-95.77169202226577,-1.164870296806285,0.05872840508410705,ambiguous,True,False,0.12179799946846831,0.024328752214054804,7,4,-1.0624732420522371,-6.400011321753554,5.293634418643655,ambiguous,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,27,20260538,LLMs,2024 Leading Chat LLMs,1,-99.34567398449052,-100.00959664056096,-0.6639226560704401,0.09335338968489608,ambiguous,False,False,-0.5796036288573503,-0.12756363155142347,7,5,1.4224334077357634,-6.400011321753554,5.293634418643655,ambiguous,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,28,20260539,Chicken,Chicken,1,-74.87854162106763,-74.72014375275347,0.1583978683141538,0.1898415538197296,ambiguous,True,False,0.1301939872310467,0.03808773652721442,7,7,5.293634418643655,-6.400011321753554,5.293634418643655,strong_present,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,28,20260539,LLMs,2024 Leading Chat LLMs,0,-74.98676080598698,-73.83824693973237,1.1485138662546035,0.38676663732742356,ambiguous,False,False,-0.3066881691810326,-0.12181065397178502,7,4,-1.0624732420522371,-6.400011321753554,5.293634418643655,ambiguous,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,29,20260540,Chicken,Chicken,0,-82.64629186812886,-81.42344209582025,1.2228497723086065,0.4045389056114598,ambiguous,False,False,-0.336097668207973,-0.1358739483755398,7,4,-0.7747911696004544,-6.400011321753554,5.293634418643655,ambiguous,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,29,20260540,LLMs,2024 Leading Chat LLMs,1,-86.16253358615637,-85.66578975753833,0.4967438286180368,0.2473689692955815,ambiguous,True,False,0.39488521507645835,0.12799097606524923,7,5,-0.3693260614922915,-6.400011321753554,5.293634418643655,ambiguous,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,30,20260541,Chicken,Chicken,1,-85.98276543834442,-84.8242204160224,1.1585450223220164,0.3891484944105515,ambiguous,True,False,0.8479651947258081,0.32130488256354844,7,6,4.600487238083709,-6.400011321753554,5.293634418643655,strong_present,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,30,20260541,LLMs,2024 Leading Chat LLMs,0,-85.26546719365517,-84.93841178367971,0.3270554099754577,0.21714494186930375,ambiguous,False,False,-0.06248615427671861,-0.019374148001645525,7,4,-2.854232711280292,-6.400011321753554,5.293634418643655,moderate_absent,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,31,20260542,Chicken,Chicken,0,-93.86693972226553,-92.90071044173511,0.9662292805304133,0.3445215843636166,ambiguous,False,False,-0.2400683476175176,-0.0909173443146388,7,4,-0.3315857335094443,-6.400011321753554,5.293634418643655,ambiguous,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,31,20260542,LLMs,2024 Leading Chat LLMs,1,-99.30140042683631,-98.61031074011207,0.69108968672424,0.28529457420843496,ambiguous,True,False,0.5375264304381757,0.18364059878854222,7,5,1.4224334077357634,-6.400011321753554,5.293634418643655,ambiguous,50,300,6
