beta_profile,evidence_stage,rung_label,system,root_z_true,n,median_log_B,mean_log_B,q05_log_B,q25_log_B,q75_log_B,q95_log_B,mean_rho,p_correct_sign,p_decisive,balanced_accuracy,balanced_log_score_improvement,evidence_margin_M,pass_fail_label,median_loss_top_to_subfeature,median_loss_subfeature_to_leaf_latent,median_loss_leaf_latent_to_binary_K6,median_loss_binary_perfect_to_binary_K6,median_loss_binary_K6_to_ordinal_binary,median_loss_ordinal_binary_to_three_state
extreme_0p9_0p1,ordinal_three_state_clamped,4X,LLMs,1,250,11.47187120945199,11.396181517156425,5.84379142636177,10.001636457242753,14.468800437331751,15.184440473391305,0.9845556324843928,0.992,0.992,0.996,0.9698485812146699,9.528037780143267,pass,-1.4686188722098414,-0.11709842368507628,-3.5279891610784375e-05,-3.5279891610784375e-05,3.527687882609598e-05,0.7952830505359714
extreme_0p9_0p1,ordinal_three_state_clamped,4X,LLMs,ALL,500,-0.3213905749535684,0.23047787356779748,-15.137131234874163,-10.862433826310365,11.458878034827109,15.134075915505713,0.4934001559618732,0.994,0.988,0.996,0.9698485812146699,9.528037780143267,pass,0.2815573869180157,-0.008123644431648813,4.683568519681103e-07,4.683568519681103e-07,-4.5091709566236204e-07,0.2119212607441625
production_oracle_median,top_observed,,Chicken,0,250,-4.395163375933338,-4.670351884330995,-8.292523359839866,-7.263002906370367,-3.371539917693421,0.1858147396021277,0.037759847629374996,0.936,0.856,0.9259999999999999,0.7847935496060432,3.0601623092333377,pass,1.9312516893472016,0.8143435859523311,1.715217506692568e-05,1.715217506692568e-05,-1.7152171224665835e-05,-0.39296311370372905
production_oracle_median,top_observed,,Chicken,1,250,5.457920973726438,4.339579258170875,0.1858147396021277,2.5900814432894084,6.889069991302298,6.889069991302298,0.8234226791350463,0.952,0.884,0.9259999999999999,0.7847935496060432,3.0601623092333377,pass,-2.043712559986335,-0.8435237818841284,-9.738600958542065e-06,-9.738600958542065e-06,9.738601121966894e-06,0.4366794356859032
production_oracle_median,top_observed,,Chicken,ALL,500,0.1858147396021277,-0.16538631308005972,-8.292523359839866,-4.395163375933338,5.457920973726438,6.889069991302298,0.4305912633822107,0.944,0.87,0.9259999999999999,0.7847935496060432,3.0601623092333377,pass,-0.07770699857102004,-0.0838796899030867,6.713196825103296e-07,6.713196825103296e-07,-6.713197180374664e-07,0.041174766338812674
production_oracle_median,top_observed,,LLMs,0,250,-4.328594487607675,-4.164076329206597,-8.292523359839866,-6.450871623772381,-2.274854731443233,0.6279898359480923,0.0481379454641335,0.896,0.82,0.938,0.8272163126603364,2.9935934209076747,pass,1.8018918161891162,0.9395177540790529,1.4824447756467407e-05,1.4824447756467407e-05,-1.4824140670555153e-05,-0.5601120308005818
production_oracle_median,top_observed,,LLMs,1,250,4.838903238748561,4.413348884642049,0.8730092145304831,2.5900814432894084,6.889069991302298,6.889069991302298,0.8373949022214185,0.972,0.904,0.938,0.8272163126603364,2.9935934209076747,pass,-1.8381882213259106,-0.9171422616300988,-1.0031054026526931e-05,-1.0031054026526931e-05,1.0031053129466727e-05,0.7164812020321563
production_oracle_median,top_observed,,LLMs,ALL,500,0.871401362905666,0.12463627771772673,-7.882020641348243,-4.328594487607675,4.838903238748561,6.889069991302298,0.442766423842776,0.934,0.862,0.938,0.8272163126603364,2.9935934209076747,pass,-0.2047846167643903,-0.14431734175610567,2.436387315896127e-06,2.436387315896127e-06,-2.4377668310648914e-06,0.20206498405713091
production_oracle_median,subfeature_observed,,Chicken,0,250,-2.853163170893172,-2.7104007455882817,-5.996801900455089,-4.297001318254433,-1.1981396080653688,0.9432116913742566,0.06960276661981794,0.876,0.728,0.8160000000000001,0.549453821753508,1.0274935970391244,pass,1.9312516893472016,0.8143435859523311,1.715217506692568e-05,1.715217506692568e-05,-1.7152171224665835e-05,-0.39296311370372905
production_oracle_median,subfeature_observed,,Chicken,1,250,2.6369315094732246,2.3517690472061603,-1.612832006004032,1.0750111272575118,4.065234407518717,5.2594009540079485,0.6276869229648928,0.868,0.664,0.8160000000000001,0.549453821753508,1.0274935970391244,pass,-2.043712559986335,-0.8435237818841284,-9.738600958542065e-06,-9.738600958542065e-06,9.738601121966894e-06,0.4366794356859032
production_oracle_median,subfeature_observed,,Chicken,ALL,500,-0.08311196939987886,-0.1793158491910606,-5.528898896817,-2.9027694976496843,2.6958705864313037,4.66348534343249,0.34864484479235536,0.872,0.696,0.8160000000000001,0.549453821753508,1.0274935970391244,pass,-0.07770699857102004,-0.0838796899030867,6.713196825103296e-07,6.713196825103296e-07,-6.713197180374664e-07,0.041174766338812674
production_oracle_median,subfeature_observed,,LLMs,0,250,-2.3855017275637143,-2.3764317200617597,-5.98221197036153,-3.9882858957168894,-0.8362147278744679,1.5026972516855954,0.087023581909617,0.852,0.676,0.8140000000000001,0.5909625077763749,1.0191536605955405,pass,1.8018918161891162,0.9395177540790529,1.4824447756467407e-05,1.4824447756467407e-05,-1.4824140670555153e-05,-0.5601120308005818
production_oracle_median,subfeature_observed,,LLMs,1,250,2.6285915730296407,2.4524823998792007,-0.6779529217790045,1.0801277832042513,3.772935292826739,5.544030978773981,0.6349868461097915,0.9,0.672,0.8140000000000001,0.5909625077763749,1.0191536605955405,pass,-1.8381882213259106,-0.9171422616300988,-1.0031054026526931e-05,-1.0031054026526931e-05,1.0031053129466727e-05,0.7164812020321563
production_oracle_median,subfeature_observed,,LLMs,ALL,500,0.3049956451592811,0.038025339908720306,-5.337597555724527,-2.4000230608187816,2.7100798272402375,4.759696605914424,0.3610052140097042,0.876,0.674,0.8140000000000001,0.5909625077763749,1.0191536605955405,pass,-0.2047846167643903,-0.14431734175610567,2.436387315896127e-06,2.436387315896127e-06,-2.4377668310648914e-06,0.20206498405713091
production_oracle_median,leaf_latent_observed,,Chicken,0,250,-2.0330024707395964,-1.9035565957418157,-4.592221018075377,-2.981845600895549,-0.8263405121005682,0.7517224808648164,0.07596848238410263,0.876,0.664,0.758,0.4459328893240203,0.14687506881213364,pass,1.9312516893472016,0.8143435859523311,1.715217506692568e-05,1.715217506692568e-05,-1.7152171224665835e-05,-0.39296311370372905
production_oracle_median,leaf_latent_observed,,Chicken,1,250,1.756312981246234,1.6405809426816353,-1.1705733465904915,0.34963616185855884,2.8041312271941843,4.585362836828024,0.5116089684972487,0.804,0.548,0.758,0.4459328893240203,0.14687506881213364,pass,-2.043712559986335,-0.8435237818841284,-9.738600958542065e-06,-9.738600958542065e-06,9.738601121966894e-06,0.4366794356859032
production_oracle_median,leaf_latent_observed,,Chicken,ALL,500,-0.1961627482795123,-0.13148782653009006,-3.8925360389156505,-2.048616752073152,1.821917452357125,3.941446602112422,0.29378872544067564,0.84,0.606,0.758,0.4459328893240203,0.14687506881213364,pass,-0.07770699857102004,-0.0838796899030867,6.713196825103296e-07,6.713196825103296e-07,-6.713197180374664e-07,0.041174766338812674
production_oracle_median,leaf_latent_observed,,LLMs,0,250,-1.4483627722381716,-1.5363536844645476,-4.544241688455993,-2.7099571472572066,-0.286786870871369,1.5344265500944687,0.11131923166995011,0.772,0.528,0.72,0.4184908106845358,-0.06879777350488392,fail,1.8018918161891162,0.9395177540790529,1.4824447756467407e-05,1.4824447756467407e-05,-1.4824140670555153e-05,-0.5601120308005818
production_oracle_median,leaf_latent_observed,,LLMs,1,250,1.5406401389292164,1.5392468892321922,-0.9825611163872306,0.42672856610712184,2.6904763210244935,4.159371741992963,0.49226783364500537,0.812,0.48,0.72,0.4184908106845358,-0.06879777350488392,fail,-1.8381882213259106,-0.9171422616300988,-1.0031054026526931e-05,-1.0031054026526931e-05,1.0031053129466727e-05,0.7164812020321563
production_oracle_median,leaf_latent_observed,,LLMs,ALL,500,0.15052160842635054,0.0014466023838223805,-4.150356090352358,-1.6142036845326455,1.6858870609401748,3.6119701093472596,0.3017935326574777,0.792,0.504,0.72,0.4184908106845358,-0.06879777350488392,fail,-0.2047846167643903,-0.14431734175610567,2.436387315896127e-06,2.436387315896127e-06,-2.4377668310648914e-06,0.20206498405713091
production_oracle_median,binary_perfect_leaf,,Chicken,0,250,-2.0330024707395964,-1.9035565957418157,-4.592221018075377,-2.981845600895549,-0.8263405121005682,0.7517224808648164,0.07596848238410263,0.876,0.664,0.758,0.4459328893240203,0.14687506881213364,pass,1.9312516893472016,0.8143435859523311,1.715217506692568e-05,1.715217506692568e-05,-1.7152171224665835e-05,-0.39296311370372905
production_oracle_median,binary_perfect_leaf,,Chicken,1,250,1.756312981246234,1.6405809426816353,-1.1705733465904915,0.34963616185855884,2.8041312271941843,4.585362836828024,0.5116089684972487,0.804,0.548,0.758,0.4459328893240203,0.14687506881213364,pass,-2.043712559986335,-0.8435237818841284,-9.738600958542065e-06,-9.738600958542065e-06,9.738601121966894e-06,0.4366794356859032
production_oracle_median,binary_perfect_leaf,,Chicken,ALL,500,-0.1961627482795123,-0.13148782653009006,-3.8925360389156505,-2.048616752073152,1.821917452357125,3.941446602112422,0.29378872544067564,0.84,0.606,0.758,0.4459328893240203,0.14687506881213364,pass,-0.07770699857102004,-0.0838796899030867,6.713196825103296e-07,6.713196825103296e-07,-6.713197180374664e-07,0.041174766338812674
production_oracle_median,binary_perfect_leaf,,LLMs,0,250,-1.4483627722381716,-1.5363536844645476,-4.544241688455993,-2.7099571472572066,-0.286786870871369,1.5344265500944687,0.11131923166995011,0.772,0.528,0.72,0.4184908106845358,-0.06879777350488392,fail,1.8018918161891162,0.9395177540790529,1.4824447756467407e-05,1.4824447756467407e-05,-1.4824140670555153e-05,-0.5601120308005818
production_oracle_median,binary_perfect_leaf,,LLMs,1,250,1.5406401389292164,1.5392468892321922,-0.9825611163872306,0.42672856610712184,2.6904763210244935,4.159371741992963,0.49226783364500537,0.812,0.48,0.72,0.4184908106845358,-0.06879777350488392,fail,-1.8381882213259106,-0.9171422616300988,-1.0031054026526931e-05,-1.0031054026526931e-05,1.0031053129466727e-05,0.7164812020321563
production_oracle_median,binary_perfect_leaf,,LLMs,ALL,500,0.15052160842635054,0.0014466023838223805,-4.150356090352358,-1.6142036845326455,1.6858870609401748,3.6119701093472596,0.3017935326574777,0.792,0.504,0.72,0.4184908106845358,-0.06879777350488392,fail,-0.2047846167643903,-0.14431734175610567,2.436387315896127e-06,2.436387315896127e-06,-2.4377668310648914e-06,0.20206498405713091
production_oracle_median,binary_noisy_K6,1O,Chicken,0,250,-2.0381685643230725,-1.897191837198042,-4.591861120705996,-2.96484526866767,-0.8274407305353897,0.7517622742579725,0.0759659410598949,0.876,0.664,0.758,0.4455665927385857,0.14619811802168958,pass,1.9312516893472016,0.8143435859523311,1.715217506692568e-05,1.715217506692568e-05,-1.7152171224665835e-05,-0.39296311370372905
production_oracle_median,binary_noisy_K6,1O,Chicken,1,250,1.7556360304557899,1.63647186181417,-1.1661420464706573,0.3381881350091476,2.79914250807785,4.576620260323366,0.5106857289790034,0.804,0.548,0.758,0.4455665927385857,0.14619811802168958,pass,-2.043712559986335,-0.8435237818841284,-9.738600958542065e-06,-9.738600958542065e-06,9.738601121966894e-06,0.4366794356859032
production_oracle_median,binary_noisy_K6,1O,Chicken,ALL,500,-0.19598331335611618,-0.1303599876919361,-3.8925328098785963,-2.052208808262236,1.807638458206867,3.9413417759138087,0.2933258350194491,0.84,0.606,0.758,0.4455665927385857,0.14619811802168958,pass,-0.07770699857102004,-0.0838796899030867,6.713196825103296e-07,6.713196825103296e-07,-6.713197180374664e-07,0.041174766338812674
production_oracle_median,binary_noisy_K6,1O,LLMs,0,250,-1.4075634249823636,-1.5365406408624276,-4.5442225784128105,-2.7196545175008,-0.23650365546412289,1.538365732237894,0.11135536224621387,0.772,0.524,0.722,0.41921323666880767,-0.06239024437293206,fail,1.8018918161891162,0.9395177540790529,1.4824447756467407e-05,1.4824447756467407e-05,-1.4824140670555153e-05,-0.5601120308005818
production_oracle_median,binary_noisy_K6,1O,LLMs,1,250,1.5470476680611682,1.5427433327650375,-0.9672699718163293,0.4265066335679606,2.6904839566188095,4.122264562500547,0.49281507881182324,0.812,0.484,0.722,0.41921323666880767,-0.06239024437293206,fail,-1.8381882213259106,-0.9171422616300988,-1.0031054026526931e-05,-1.0031054026526931e-05,1.0031053129466727e-05,0.7164812020321563
production_oracle_median,binary_noisy_K6,1O,LLMs,ALL,500,0.14326748831802405,0.003101345951304893,-4.152892494679741,-1.6025210900112157,1.712810884973539,3.623562117455233,0.30208522052901854,0.792,0.504,0.722,0.41921323666880767,-0.06239024437293206,fail,-0.2047846167643903,-0.14431734175610567,2.436387315896127e-06,2.436387315896127e-06,-2.4377668310648914e-06,0.20206498405713091
