run_id,run_family,seed,system,root_z_true,top_feature_key,top_feature_name,support_label,demandingness_label,beta_pres_true,beta_abs_true,beta_gap_true,realised_z_top,n_descendant_subfeatures,n_descendant_indicators,n_observed_ratings_desc,c_top_latent,c_oracle_subtree,delta_oracle_minus_top_latent,abs_delta,subtree_message_loglik_z0,subtree_message_loglik_z1
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260508,full_exact_recovery,20260508,LLMs,0,Global Workspace Theory > Complexity,Complexity,strong support,weakly undemanding,0.9205216626808573,0.3969036303573165,0.5236180323235409,1,5,8,30,0.8412470274704257,0.5710759937006955,-0.2701710337697302,0.2701710337697302,-52.91468918473184,-51.40309447426047
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260508,full_exact_recovery,20260508,LLMs,0,Global Workspace Theory > Selective Attention,Selective Attention,strong support,moderately demanding,0.8652906577456392,0.21587260411564355,0.6494180536299956,0,5,12,43,-1.761452064880101,-0.4700396009607175,1.2914124639193836,1.2914124639193836,-67.30088319732965,-68.02133079999186
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260508,full_exact_recovery,20260508,LLMs,0,Global Workspace Theory > Integration,Integration,strong support,moderately demanding,0.8652906577456392,0.21587260411564355,0.6494180536299956,0,0,2,8,-1.761452064880101,-1.689146862834404,0.07230520204569713,0.07230520204569713,-11.432842931311779,-15.836109402757899
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260509,full_exact_recovery,20260509,Chicken,0,Global Workspace Theory > Representationality,Representationality,weak support,strongly undemanding,0.9250177775636342,0.869159106691928,0.05585867087170626,1,4,8,12,0.06228675610397856,0.04085818866322022,-0.021428567440758342,0.021428567440758342,-16.269083959916085,-15.129141913170368
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260509,full_exact_recovery,20260509,Chicken,0,Global Workspace Theory > Hierarchical Organization,Hierarchical Organization,weak support,moderately undemanding,0.8265237784608894,0.6298719913082595,0.19665178715262988,0,0,1,1,-0.7578083768950798,-0.005680536749581577,0.7521278401454983,0.7521278401454983,-2.015127449725286,-2.043826448172857
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260509,full_exact_recovery,20260509,Chicken,0,Global Workspace Theory > Coherence,Coherence,strong support,strongly demanding,0.7979354739553153,0.10156225083779936,0.6963732231175159,0,4,13,25,-1.4920703384968867,-0.8286353692726109,0.6634349692242758,0.6634349692242758,-41.419247786169365,-42.79584197627098
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260509,full_exact_recovery,20260509,Chicken,0,Global Workspace Theory > Modularity,Modularity,weak support,moderately demanding,0.560047800174686,0.2332959659893026,0.32675183418538345,0,0,6,12,-0.5554347678250722,-0.5542659397165437,0.0011688281085284746,0.0011688281085284746,-21.20460056141989,-27.923591614109906
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260509,full_exact_recovery,20260509,Chicken,0,Global Workspace Theory > Complexity,Complexity,strong support,weakly undemanding,0.9205216626808573,0.3969036303573165,0.5236180323235409,1,5,8,15,0.8412470274704257,0.4719435782774255,-0.3693034491930002,0.3693034491930002,-25.277770586060427,-24.13935996393907
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260509,full_exact_recovery,20260509,Chicken,0,Global Workspace Theory > Selective Attention,Selective Attention,strong support,moderately demanding,0.8652906577456392,0.21587260411564355,0.6494180536299956,1,5,12,24,1.3883770330795024,1.1470190256905894,-0.241358007388913,0.241358007388913,-38.33314128282341,-35.80099322283492
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260509,full_exact_recovery,20260509,Chicken,0,Global Workspace Theory > Integration,Integration,strong support,moderately demanding,0.8652906577456392,0.21587260411564355,0.6494180536299956,0,0,2,4,-1.761452064880101,-1.6727357646919936,0.0887163001881075,0.0887163001881075,-5.737341149656173,-9.926944925583228
