beta_profile,leaf_key,leaf_name,top_feature_key,top_feature_name,path_length,path_edge_gaps,min_path_gap,product_path_gap_heuristic,path_labels,n_sibling_leaves_under_top,p_leaf_present_R1,p_leaf_present_R0,binary_gap,kl_binary_R1_to_R0,kl_binary_R0_to_R1,sym_kl_binary,tv_binary,hellinger_binary,p_m0_R1,p_m1_R1,p_m2_R1,p_m0_R0,p_m1_R0,p_m2_R0,sym_kl_three_state,hellinger_three_state,sym_kl_ordinal_ref_rater,hellinger_ordinal_ref_rater
production_prior_mean,Global Workspace Theory > Coherence > Autonomous Subparts > Conflicting Subparts,Conflicting Subparts,Global Workspace Theory > Coherence,Coherence,3,0.638889;-0.0714286;0.418301,0.07142857142857145,-0.01908911712833282,strong support / strongly demanding > weak undermining / neutral > moderate support / strongly demanding,13,0.29785247432306255,0.3169415914513954,-0.019089117128332833,0.0008510489552995201,0.0008609079360934087,0.0008559784456964644,0.019089117128332778,0.014628111825313324,0.49301114781424543,0.4182727557253838,0.08871609646037064,0.46656878948895253,0.43297923811930433,0.10045197239174322,0.0017119568913929262,0.020686167431373567,0.001112116410608642,0.016673279881366986
production_prior_mean,Global Workspace Theory > Coherence > Autonomous Subparts > Information Transfer,Information Transfer,Global Workspace Theory > Coherence,Coherence,3,0.638889;-0.0714286;0.15,0.07142857142857145,-0.006845238095238098,strong support / strongly demanding > weak undermining / neutral > moderate support / moderately undemanding,13,0.8169642857142857,0.8238095238095238,-0.006845238095238071,0.00015980249345513755,0.00015822450103240415,0.00015901349724377085,0.006845238095238071,0.0063049486023700075,0.03350207270408164,0.2990672831632653,0.6674306441326531,0.03104308390022677,0.2902947845804989,0.6786621315192743,0.0003180269944875417,0.008916455209643978,0.0001900393810940035,0.00689265418268099
production_prior_mean,Global Workspace Theory > Coherence > Autonomous Subparts > Learning Transfer,Learning Transfer,Global Workspace Theory > Coherence,Coherence,3,0.638889;-0.0714286;0.228571,0.07142857142857145,-0.01043083900226758,strong support / strongly demanding > weak undermining / neutral > moderate support / weakly undemanding,13,0.673469387755102,0.6839002267573696,-0.0104308390022676,0.00025019200136502766,0.0002487702967554316,0.0002494811490602296,0.0104308390022676,0.007897421043181788,0.10662224073302792,0.43981674302374013,0.453561016243232,0.09991906664404235,0.4323614131971761,0.4677195201587816,0.0004989622981204584,0.011168465800730857,0.000322703966364136,0.00898186379339638
production_prior_mean,Global Workspace Theory > Coherence > Autonomous Subparts > Information Transfer Architecture,Information Transfer Architecture,Global Workspace Theory > Coherence,Coherence,3,0.638889;-0.0714286;0.340909,0.07142857142857145,-0.015557359307359313,strong support / strongly demanding > weak undermining / neutral > moderate support / moderately demanding,13,0.4021915584415584,0.41774891774891776,-0.015557359307359353,0.0004993641605613736,0.0005012959470014327,0.0005003300537814032,0.015557359307359353,0.011183897176943581,0.35737493279853266,0.4808670175198178,0.1617580496816495,0.33901632278255656,0.4864695189370514,0.17451415828039205,0.0010006601075628003,0.01581592448241796,0.0006635517427844287,0.012879396286834115
production_prior_mean,Global Workspace Theory > Coherence > Point of View > Perspective-relative Representations,Perspective-relative Representations,Global Workspace Theory > Coherence,Coherence,3,0.638889;0.340909;0.55,0.34090909090909094,0.11979166666666667,strong support / strongly demanding > moderate support / moderately demanding > strong support / moderately demanding,13,0.5281250000000001,0.4083333333333333,0.11979166666666674,0.029107766885519,0.02880892328059187,0.028958345083055434,0.11979166666666674,0.08503338720072967,0.22266601562499994,0.49841796875,0.27891601562500007,0.35006944444444443,0.4831944444444444,0.1667361111111111,0.057916690166110854,0.12003779066887518,0.038509028021449704,0.09797218961082074
production_prior_mean,Global Workspace Theory > Coherence > Point of View > Stable Personality,Stable Personality,Global Workspace Theory > Coherence,Coherence,3,0.638889;0.340909;0.15,0.15000000000000002,0.03267045454545455,strong support / strongly demanding > moderate support / moderately demanding > weak support / moderately demanding,13,0.32585227272727274,0.2931818181818182,0.03267045454545453,0.002523174077349942,0.002474600746168367,0.0024988874117591545,0.03267045454545456,0.02499224940810634,0.45447515818698336,0.43934513817148757,0.10617970364152893,0.4995919421487603,0.414452479338843,0.08595557851239671,0.004997774823518311,0.03533885850081672,0.0032484955141954854,0.02849319258717357
production_prior_mean,Global Workspace Theory > Coherence > Common Representational Scheme > Authoritative Representational Scheme,Authoritative Representational Scheme,Global Workspace Theory > Coherence,Coherence,3,0.638889;0.263736;0.340909,0.26373626373626374,0.05744255744255744,strong support / strongly demanding > moderate support / weakly demanding > moderate support / moderately demanding,13,0.46353646353646355,0.4060939060939061,0.05744255744255744,0.006755685685928131,0.006687207999856885,0.006721446842892508,0.05744255744255744,0.04098607129483555,0.28779312595496404,0.49734082101714466,0.2148660530278912,0.35272444837879396,0.4823632910545997,0.16491226056660624,0.013442893685785013,0.0579387103527124,0.008931393096184254,0.04723612913804514
production_prior_mean,Global Workspace Theory > Coherence > Common Representational Scheme > Unified Egocentric Representations,Unified Egocentric Representations,Global Workspace Theory > Coherence,Coherence,3,0.638889;0.263736;0.428571,0.26373626373626374,0.07221350078492934,strong support / strongly demanding > moderate support / weakly demanding > strong support / weakly demanding,13,0.6970172684458398,0.6248037676609105,0.07221350078492927,0.011464923562761076,0.011870574597400499,0.011667749080080787,0.07221350078492927,0.053989408519517404,0.09179853562002031,0.4223683918682798,0.4858330725116999,0.14077221276144802,0.46884803915528295,0.39037974808326903,0.02333549816016159,0.0762968942862013,0.015162282905613323,0.06153062131216089
production_prior_mean,Global Workspace Theory > Coherence > Common Representational Scheme > Distinguishes Self-Produced from Other-Produced Behavior,Distinguishes Self-Produced from Other-Produced Behavior,Global Workspace Theory > Coherence,Coherence,3,0.638889;0.263736;0.25,0.25,0.04212454212454212,strong support / strongly demanding > moderate support / weakly demanding > moderate support / neutral,13,0.6565934065934066,0.6144688644688645,0.042124542124542086,0.0038020637447280306,0.003865172080945785,0.0038336179128369077,0.042124542124542086,0.030954848159475495,0.11792808839512137,0.4509570100229441,0.43111490158193455,0.14863425646392678,0.47379375813441743,0.37757198540165576,0.007667235825673822,0.04376627807893453,0.005016307765943969,0.03540611075140182
production_prior_mean,Global Workspace Theory > Coherence > Social Coherence > Stable Personality,Stable Personality,Global Workspace Theory > Coherence,Coherence,3,0.638889;0.25;0.340909,0.25,0.054450757575757576,strong support / strongly demanding > moderate support / neutral > moderate support / moderately demanding,13,0.484375,0.42992424242424243,0.05445075757575757,0.0059985689215427684,0.0059609894983937844,0.0059797792099682764,0.05445075757575757,0.038659552464051325,0.265869140625,0.49951171875,0.234619140625,0.3249863693755739,0.49017877640036733,0.18483485422405876,0.01195955841993655,0.054652431609842955,0.007954866765992483,0.04458115446087332
production_prior_mean,Global Workspace Theory > Coherence > Social Coherence > Persistence Seeking,Persistence Seeking,Global Workspace Theory > Coherence,Coherence,3,0.638889;0.25;0.0952381,0.09523809523809534,0.015211640211640228,strong support / strongly demanding > moderate support / neutral > weak support / weakly undemanding,13,0.636904761904762,0.6216931216931217,0.015211640211640232,0.00049461230392755,0.0004974009151861372,0.0004960066095568436,0.015211640211640232,0.011135454845119727,0.13183815192743759,0.4625141723356009,0.40564767573696153,0.1431160941742952,0.47038156826516614,0.3865023375605387,0.0009920132191136907,0.01574742307882322,0.0006500388955405396,0.012747613012292066
production_prior_mean,Global Workspace Theory > Coherence > Social Coherence > Stable Social Interactions,Stable Social Interactions,Global Workspace Theory > Coherence,Coherence,3,0.638889;0.25;0.428571,0.25,0.06845238095238095,strong support / strongly demanding > moderate support / neutral > strong support / weakly demanding,13,0.7232142857142857,0.6547619047619048,0.06845238095238093,0.01074494660264972,0.011188879836784196,0.010966913219716958,0.06845238095238093,0.052341489826467094,0.07661033163265307,0.40035076530612246,0.5230389030612245,0.11918934240362812,0.45209750566893425,0.42871315192743764,0.021933826439433923,0.07397132913121693,0.014127378440955997,0.059394578185362146
production_prior_mean,Global Workspace Theory > Modularity > Cross-Modal Learning Deficits,Cross-Modal Learning Deficits,Global Workspace Theory > Modularity,Modularity,2,0.15;0.21,0.15000000000000002,0.0315,weak support / moderately demanding > strong support / moderately undemanding,6,0.834,0.8025,0.03149999999999997,0.0032676583602670867,0.003418290454917986,0.0033429744075925364,0.03149999999999997,0.028901711995435307,0.02755600000000001,0.276888,0.695556,0.039006250000000006,0.31698750000000003,0.64400625,0.006685948815185083,0.04086465675228118,0.004000780510792936,0.031617788027113486
production_prior_mean,Global Workspace Theory > Modularity > Selective Competence Disruption,Selective Competence Disruption,Global Workspace Theory > Modularity,Modularity,2,0.15;0.55,0.15000000000000002,0.08250000000000002,weak support / moderately demanding > strong support / moderately demanding,6,0.47000000000000003,0.3875,0.08250000000000002,0.014041791565491513,0.013817532931640411,0.013929662248565962,0.08250000000000002,0.0589934053017578,0.28090000000000004,0.49820000000000003,0.22090000000000004,0.3751562500000001,0.47468750000000004,0.15015625000000002,0.027859324497131927,0.08335665416711964,0.018497700794927865,0.06795240254294957
