system,node_key,indicator,top_feature,depth,n_ratings,chi2,kl,cov94,obs_p0,obs_p1,obs_p2,obs_p3,obs_p4,obs_p5,obs_p6,pred_p0,pred_p1,pred_p2,pred_p3,pred_p4,pred_p5,pred_p6
2024 Leading Chat LLMs,Global Workspace Theory > Modularity > Dedicated Speech Systems,Dedicated Speech Systems,Modularity,2,4,22.0318929155847,1.873028075779826,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4839067604167511,0.07666861923623002,0.04844942244892432,0.06867102126121637,0.08365123293063247,0.08499527413257855,0.15365766957366717
2024 Leading Chat LLMs,Global Workspace Theory > Modularity > Poorly Intraconnected Networks,Poorly Intraconnected Networks,Modularity,2,4,22.57002003369513,1.7104613435419223,False,0.0,0.0,0.5,0.0,0.25,0.25,0.0,0.4839067604167511,0.07666861923623002,0.04844942244892432,0.06867102126121637,0.08365123293063247,0.08499527413257855,0.15365766957366717
2024 Leading Chat LLMs,Global Workspace Theory > Modularity > Selective Competence Disruption,Selective Competence Disruption,Modularity,2,4,25.92296830298505,1.9256523080850658,False,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.4932499476351287,0.07582995170957547,0.04698149083665994,0.06570829433115724,0.08073550170619173,0.08387248710599379,0.1536223266752931
2024 Leading Chat LLMs,Global Workspace Theory > Representationality > Conceptual Representations > Activation Steering Effects,Activation Steering Effects,Representationality,3,3,10.13394508124212,1.350946542167974,True,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.4755441201444156,0.07438954959482896,0.046754082140713825,0.066611383531174,0.08392869780841762,0.08879615110738655,0.16397601567306355
2024 Leading Chat LLMs,Global Workspace Theory > Representationality > World Modelling > Broad Predictive Training,Broad Predictive Training,Representationality,3,4,55.6662214652917,2.70247169454936,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.46634586694622737,0.07368641507182941,0.046632125677046464,0.06703960635963567,0.08545697580603405,0.09133669328392996,0.16950231685529712
2024 Leading Chat LLMs,Global Workspace Theory > Representationality > Conceptual Representations > Concept-Specific Ablation Effects,Concept-Specific Ablation Effects,Representationality,3,4,11.377592215775183,1.2171179149336218,True,0.0,0.0,0.0,0.0,0.25,0.5,0.25,0.4690044315173943,0.07310210749924104,0.04588742550944394,0.06568641265366741,0.08439074241648259,0.09132594390387024,0.17060293649990058
2024 Leading Chat LLMs,Global Workspace Theory > Representationality > Isomorphic Representations > Has Retinotopic Neural Maps,Has Retinotopic Neural Maps,Representationality,3,4,7.116764031671422,0.771193845154436,True,0.5,0.0,0.25,0.25,0.0,0.0,0.0,0.4740720772112682,0.07480569565864702,0.047196853922722395,0.06737787313388978,0.08445013575304347,0.0887428377834982,0.16335452653693094
2024 Leading Chat LLMs,Global Workspace Theory > Representationality > Propositional Representations > Logical Inference,Logical Inference,Representationality,3,4,19.938470877265765,1.7891924638398762,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.47304327883990754,0.07374722305543273,0.04625831485697873,0.06599513507533031,0.083949096904965,0.0899119007727955,0.1670950504945902
2024 Leading Chat LLMs,Global Workspace Theory > Representationality > World Modelling > Model Isomorphism,Model Isomorphism,Representationality,3,3,19.758261150118777,2.0253559765319498,False,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.4684546088474415,0.07398286627300506,0.046809420871664446,0.06715268427071895,0.08526682518483458,0.09061835703819927,0.16771523751413622
2024 Leading Chat LLMs,Global Workspace Theory > Representationality > Conceptual Representations > Probe-Detectable Themes,Probe-Detectable Themes,Representationality,3,4,20.142519906527774,1.797680236281639,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4690970457848517,0.07455329454923827,0.04731459558657861,0.06788923192243254,0.08549669018454333,0.08996635428131355,0.16568278769104214
