kind,support,demandingness,prior_mu,prior_sigma_logit,prior_sd_natural_approx,post_mean,post_sd,post_p03,post_p97,contraction,fraction_back_to_baseline
abs,weak support,weakly undemanding,0.1,0.3,0.02731570469460425,0.10199991901969775,0.02763034873842644,0.0583197659544064,0.16122648780711732,1.0115187965069905,0.0049997975492443655
abs,weak undermining,neutral,0.1,0.3,0.02731570469460425,0.10262565466251458,0.027412878417058466,0.0590889522416079,0.1619868601262755,1.0035574305528867,0.00656413665628644
pres,moderate support,moderately demanding,0.9,0.3,0.027572640543407325,0.8906387025457576,0.025395824617637366,0.8374860062518915,0.9329815050305816,0.9210515974216172,-0.02340324363560603
pres,moderate support,moderately undemanding,0.9,0.3,0.027572640543407325,0.8884189653665591,0.02877890949303567,0.8266485481068186,0.9343478387563335,1.0437487642044776,-0.02895258658360239
pres,moderate support,neutral,0.9,0.3,0.027572640543407325,0.8922497161640401,0.02735167704835355,0.8341640694697439,0.9359845008445725,0.9919861322419986,-0.019375709589899703
pres,moderate support,strongly demanding,0.9,0.3,0.027572640543407325,0.8895461355197855,0.028526681518236112,0.829998352909142,0.934990253068652,1.0346010014284577,-0.026134661200536424
pres,moderate support,weakly demanding,0.9,0.3,0.027572640543407325,0.8867889143574789,0.027700252554508722,0.8285697407948461,0.9315620119233957,1.0046282114656555,-0.0330277141063029
pres,moderate support,weakly undemanding,0.9,0.3,0.027572640543407325,0.9004199122307895,0.024716669806048114,0.8480650721761938,0.9400271965615317,0.8964201222272098,0.0010497805769738022
pres,strong support,moderately demanding,0.9,0.3,0.027572640543407325,0.8943292452372426,0.024473197969395896,0.842938635719166,0.9343350240535642,0.887589925631823,-0.014176886906893671
pres,strong support,moderately undemanding,0.9,0.3,0.027572640543407325,0.883069215178468,0.030881793518104057,0.8181941183824603,0.9325648054835386,1.1200158167472993,-0.042326962053829964
pres,strong support,neutral,0.9,0.3,0.027572640543407325,0.8831325269984472,0.02888083031970052,0.8217625817716153,0.9308326013431647,1.0474452120112951,-0.04216868250388195
pres,strong support,strongly demanding,0.9,0.3,0.027572640543407325,0.9052689133347696,0.024496239700893582,0.8533788811881916,0.9438939405519654,0.8884255993664953,0.013172283336923829
pres,strong support,weakly demanding,0.9,0.3,0.027572640543407325,0.8889050998343389,0.027867901994536055,0.8282128393427417,0.9333775247633913,1.0107084938297404,-0.027737250414152925
pres,strong support,weakly undemanding,0.9,0.3,0.027572640543407325,0.8869080709953182,0.028421130278541245,0.8280943273614472,0.9326602967939766,1.0307728863979548,-0.03272982251170453
pres,weak support,moderately demanding,0.9,0.3,0.027572640543407325,0.9026114675931712,0.02475390242036358,0.8497108958238082,0.9422882704682286,0.8977704685698769,0.006528668982928032
pres,weak support,moderately undemanding,0.9,0.3,0.027572640543407325,0.893520414198327,0.02783998698499467,0.8324104347590999,0.9376413748727626,1.0096960768471364,-0.016198964504182678
pres,weak support,neutral,0.9,0.3,0.027572640543407325,0.8980078705919915,0.02751071962511832,0.8400688240075318,0.9408019605506525,0.9977542623024617,-0.0049803235200213125
pres,weak support,strongly undemanding,0.9,0.3,0.027572640543407325,0.89905042847979,0.027227109367133826,0.8397060557197039,0.9418831978424373,0.9874683320326346,-0.0023739288005250603
pres,weak support,weakly undemanding,0.9,0.3,0.027572640543407325,0.8937794633224309,0.02786726889869274,0.8322959043216019,0.9375270470501518,1.0106855328136448,-0.015551341693922915
pres,weak undermining,neutral,0.9,0.3,0.027572640543407325,0.8991746758162913,0.026420700541060167,0.8428408456307753,0.9416003004996953,0.958221629135096,-0.0020633104592718277
