system,node_key,indicator,top_feature,depth,n_ratings,chi2,kl,cov94,obs_p0,obs_p1,obs_p2,obs_p3,obs_p4,obs_p5,obs_p6,pred_p0,pred_p1,pred_p2,pred_p3,pred_p4,pred_p5,pred_p6
ELIZA,Global Workspace Theory > Selective Attention > Attention-Constrained Architecture > Informational Bottleneck,Informational Bottleneck,Selective Attention,3,1,2.491438511164024,1.2503138321404352,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28641489655408714,0.08672603120230839,0.10070597605135348,0.16047533097743322,0.13429222356087697,0.1263531257831184,0.1050324158708224
ELIZA,Global Workspace Theory > Selective Attention > Performance Sensitivity > Performance Degradation,Performance Degradation,Selective Attention,3,1,8.858483820598297,2.288332386060217,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.29604148456998064,0.08797244128942436,0.10143547610339451,0.16014419553519108,0.13238320214244037,0.12266301057318442,0.0993601897863846
ELIZA,Global Workspace Theory > Selective Attention > Performance Sensitivity > Priming Enhancement,Priming Enhancement,Selective Attention,3,1,6.4969512721656955,2.0144964408553703,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.29107873010861923,0.08739095608176821,0.10115845060546526,0.16045968389741005,0.13338755498021576,0.1245004847796198,0.1020241395469018
ELIZA,Global Workspace Theory > Selective Attention > Attention-Constrained Architecture > Resource Adaptation,Resource Adaptation,Selective Attention,3,1,7.030247427141121,2.083215340328438,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2909475679527341,0.08733751512925457,0.101108948333018,0.16037045378126405,0.13343530541752852,0.12452916414756272,0.10227104523863798
ELIZA,Global Workspace Theory > Selective Attention > Non-Linear Capabilities > Self-Sustained Activity,Self-Sustained Activity,Selective Attention,3,1,10.49528204519043,2.4419366942508396,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2883586356986727,0.08699221089737376,0.10091437903989936,0.1605372462375623,0.1338854845145663,0.12555796015153614,0.10375408346038945
ELIZA,Global Workspace Theory > Selective Attention > Adaptive Focus > Task Focus,Task Focus,Selective Attention,3,1,2.465599741155646,1.2428857031349096,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2885503447280781,0.08703099112167899,0.10088230680620387,0.1604484136150864,0.13388602564259475,0.125518140465077,0.1036837776212809
ELIZA,Global Workspace Theory > Selective Attention > Non-Linear Capabilities > Threshold Activation,Threshold Activation,Selective Attention,3,1,2.4750256038275813,1.2456018469975487,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2877676638982303,0.08697764805949408,0.10094485158252928,0.16061615767803536,0.13408053501850636,0.12568568256162432,0.1039274612015804
Human,Global Workspace Theory > Coherence > Common Representational Scheme > Authoritative Representational Scheme,Authoritative Representational Scheme,Coherence,3,1,4.03523781618585,1.6164607576640087,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.09613443314944323,0.04740846973038565,0.06622535471775941,0.13531774139643526,0.1519466907123825,0.19860035146413235,0.30436695882946163
Human,Global Workspace Theory > Coherence > Autonomous Subparts > Conflicting Subparts,Conflicting Subparts,Coherence,3,1,9.815738927295946,2.3810023813702323,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09245785301605937,0.04619482611053918,0.06495648634869002,0.1335861610537363,0.15126562648951092,0.19945697974887505,0.31208206723258913
Human,Global Workspace Theory > Coherence > Common Representational Scheme > Distinguishes Self-Produced from Other-Produced Behavior,Distinguishes Self-Produced from Other-Produced Behavior,Coherence,3,1,2.1781357293573946,1.1562947762514157,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09134992933832417,0.045880823509505786,0.0644895408884674,0.13294580860689567,0.15094763775304754,0.19973638804249824,0.3146498718612612
Human,Global Workspace Theory > Coherence > Autonomous Subparts > Functional Subparts,Functional Subparts,Coherence,3,1,20.742621921275713,3.0792744779755803,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09170286606735115,0.045992613200962394,0.06467389931171187,0.13317499176721065,0.15105781230628598,0.19964477588531893,0.3137530414611591
Human,Global Workspace Theory > Coherence > Autonomous Subparts > Information Transfer,Information Transfer,Coherence,3,1,9.65633619791567,2.366154663405038,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09384088315415533,0.04667790056501678,0.06540705112777458,0.1340736800063928,0.15138423789356992,0.19897901459730002,0.3096372326557907
Human,Global Workspace Theory > Coherence > Autonomous Subparts > Information Transfer Architecture,Information Transfer Architecture,Coherence,3,1,9.35928994420246,2.3378836962780913,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09653171263534777,0.04751886151073373,0.06640226033534477,0.13550477514911932,0.15201150050626952,0.1984542743562024,0.3035766155069825
Human,Global Workspace Theory > Coherence > Autonomous Subparts > Learning Transfer,Learning Transfer,Coherence,3,1,9.968798321863511,2.3950547260684933,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09116768953685238,0.04578747936620827,0.06445123611329617,0.13295203039174988,0.15100118083156744,0.19983510031110313,0.31480528344922276
Human,Global Workspace Theory > Coherence > Social Coherence > Persistence Seeking,Persistence Seeking,Coherence,3,1,5.623828991018652,1.890673600176434,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09055660001889011,0.045642596035728095,0.06434688993278409,0.132683656808276,0.15097008110503984,0.20006373847036316,0.3157364376289187
Human,Global Workspace Theory > Coherence > Point of View > Perspective-relative Representations,Perspective-relative Representations,Coherence,3,1,4.01672188994435,1.6127767104285167,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.09336919200638583,0.046538077856998,0.0653811185167721,0.13405755705690528,0.15151135376530986,0.19933335391870668,0.3098093468789223
Human,Global Workspace Theory > Coherence > Point of View > Stable Personality,Stable Personality,Coherence,3,1,2.2569786882305034,1.1807999828985722,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09476437389495214,0.04699677793398588,0.06578981077879142,0.13473154094997322,0.15173125510078356,0.19895322217758005,0.3070330191639338
Human,Global Workspace Theory > Coherence > Social Coherence > Stable Personality,Stable Personality,Coherence,3,1,6.449013281214389,2.0080815781452133,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09366228470448971,0.046675057569550885,0.06544528376724398,0.13424596819043033,0.15156146099082488,0.19925847262210747,0.30915147215535277
Human,Global Workspace Theory > Coherence > Social Coherence > Stable Social Interactions,Stable Social Interactions,Coherence,3,1,2.1878148812364397,1.1593356918757578,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09178462369372983,0.045998216035003994,0.06468943350593073,0.13321654567179605,0.15110710665562,0.19950957295164248,0.3136945014862769
Human,Global Workspace Theory > Coherence > Common Representational Scheme > Unified Egocentric Representations,Unified Egocentric Representations,Coherence,3,1,14.273575957514245,2.726124273707774,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09419191778483485,0.04672899575672706,0.06547255225506135,0.1343077773873163,0.15153957888442804,0.19890466524369083,0.3088545126879416
Human,Global Workspace Theory > Complexity > Informational Complexity > Compressibility,Compressibility,Complexity,3,1,2.079935340180624,1.1249086033172684,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08671258442500634,0.04428639211323973,0.06282192452145947,0.13055261045191155,0.150009125815103,0.20093522180036322,0.3246821408729167
Human,Global Workspace Theory > Complexity > Functional Diversity > Diversity of Tasks,Diversity of Tasks,Complexity,3,1,4.007220613369515,1.61088099336567,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.09116744057468129,0.0456487337589442,0.06427308596176719,0.13267678126763505,0.15089729462840745,0.19971159196180666,0.31562507184675803
Human,Global Workspace Theory > Complexity > Structural Complexity > Functional Specialization,Functional Specialization,Complexity,3,1,2.1694088944827756,1.1535451018843341,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09070804914393504,0.045686457612596515,0.06434439005834527,0.13270780666360876,0.15100040108968651,0.20003664830424092,0.3155162471275871
Human,Global Workspace Theory > Complexity > Structural Complexity > Number of Connections,Number of Connections,Complexity,3,1,20.58453242753749,3.0719769668565564,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09283958140881154,0.04632947242925691,0.06501038812419657,0.13361399381171185,0.1512744908785881,0.1994219365618492,0.31151013678558565
Human,Global Workspace Theory > Complexity > Structural Complexity > Number of Layers,Number of Layers,Complexity,3,1,6.435457501545191,2.006260111515337,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09427921624643089,0.04684150099193066,0.06565365763477264,0.13449071557361283,0.15170465195445446,0.19915159349698638,0.3078786641018121
Human,Global Workspace Theory > Complexity > Structural Complexity > Number of Nodes,Number of Nodes,Complexity,3,1,20.58453242753749,3.0719769668565564,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09283958140881154,0.04632947242925691,0.06501038812419657,0.13361399381171185,0.1512744908785881,0.1994219365618492,0.31151013678558565
Human,Global Workspace Theory > Complexity > Informational Complexity > Optimized Componentry,Optimized Componentry,Complexity,3,1,6.613956768866615,2.0299829800963556,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0879422278145059,0.04471474864234648,0.06332666868478158,0.13133775648543067,0.15053316368526737,0.20073726229885694,0.32140817238881114
Human,Global Workspace Theory > Complexity > Functional Diversity > Variability of Responses to Stimuli,Variability of Responses to Stimuli,Complexity,3,1,5.636296388879292,1.8925540351161068,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08996762285650937,0.045311858649725305,0.06386032506278624,0.13210311859087007,0.15068645844024392,0.20016116659375602,0.3179094498061092
Human,Global Workspace Theory > Hierarchical Organization > Concrete-Abstract Separation,Concrete-Abstract Separation,Hierarchical Organization,2,1,16.496366206229208,2.861993214009855,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07342918092123193,0.0394499062859105,0.057154725056221746,0.12263025970958108,0.1460606547988073,0.20362943005666323,0.3576458431715843
Human,Global Workspace Theory > Integration > Holistic Dependency,Holistic Dependency,Integration,2,1,3.911566061273019,1.5915928443676952,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.07300238610648904,0.03923844000198247,0.05701354828725526,0.12219624044343178,0.1457913924040722,0.20360104853009184,0.35915694422667743
Human,Global Workspace Theory > Integration > Wiring Convergence,Wiring Convergence,Integration,2,1,5.862374573656136,1.9260535296057633,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07330151381768238,0.03932340908502051,0.05714714724689925,0.12228735906653826,0.14572215335474176,0.20332161041133048,0.3588968070177874
Human,Global Workspace Theory > Modularity > Cross-Modal Learning Deficits,Cross-Modal Learning Deficits,Modularity,2,1,1.7962291174819414,1.0282717657503078,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07356935798933333,0.039503217643630004,0.05724188490570068,0.12264803726986853,0.146009632784593,0.20340338372076597,0.3576244856861084
Human,Global Workspace Theory > Modularity > Dedicated Action Systems,Dedicated Action Systems,Modularity,2,1,1.7816327712899498,1.0230380830952162,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07308315964175838,0.039238058103790247,0.05690585971135538,0.12213362784446757,0.145656607656943,0.20348160180811528,0.3595010852335701
Human,Global Workspace Theory > Modularity > Dedicated Sensory Systems,Dedicated Sensory Systems,Modularity,2,1,7.153412172423525,2.098436511097338,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07356935798933333,0.039503217643630004,0.05724188490570068,0.12264803726986853,0.146009632784593,0.20340338372076597,0.3576244856861084
