alternative,replicate,C_true,J,K,C_post_mean,C_post_median,C_post_sd,C_central_80_low,C_central_80_high,C_central_95_low,C_central_95_high,C_contraction,bias,abs_error,squared_error,covered_80,covered_95
direct_q_continuous_observation,10448,0.05,64,5,0.046966492071127595,0.044507721989326204,0.026139659985547584,0.013775322633757402,0.08198512742828415,0.004067769740530893,0.10332494942183561,0.18557317677311527,-0.0030335079288724073,0.0030335079288724073,9.202170354531762e-06,1,1
direct_q_continuous_observation,10449,0.05,64,5,0.09877023740025828,0.09768600192154624,0.031245995268882183,0.05895585894303293,0.13912746676167004,0.039680353619552564,0.16206709992688162,0.22182456109567217,0.04877023740025828,0.04877023740025828,0.0023785360560775516,0,1
direct_q_continuous_observation,10450,0.05,64,5,0.054032704587364054,0.05202012666100918,0.027490447356389624,0.01878410433426508,0.09047866486289612,0.006513625167543074,0.11216129878838865,0.19516281580020114,0.004032704587364051,0.004032704587364051,1.6262706288947064e-05,1,1
direct_q_continuous_observation,10451,0.05,64,5,0.040539400646676174,0.03759011198039809,0.024563030636855325,0.009932250823535705,0.07379888969126651,0.0025306236825519066,0.09471862678056972,0.17438021875482754,-0.009460599353323829,0.009460599353323829,8.950294012411125e-05,1,1
direct_q_continuous_observation,10452,0.05,64,5,0.08611661394951448,0.08495856737052111,0.030629303054043957,0.04702547974930575,0.1257699660773169,0.02842637169858768,0.14841972036735165,0.21744648068215294,0.03611661394951447,0.03611661394951447,0.0013044098031782633,1,1
direct_q_continuous_observation,10453,0.05,64,5,0.050426835774049335,0.04820063317683421,0.026845914646908393,0.016134940968368133,0.0862015498423728,0.0051541365577152404,0.10772012072939094,0.19058708748167114,0.000426835774049332,0.000426835774049332,1.8218877800829238e-07,1,1
direct_q_continuous_observation,10454,0.05,64,5,0.046966492071127595,0.044507721989326204,0.026139659985547584,0.013775322633757402,0.08198512742828415,0.004067769740530893,0.10332494942183561,0.18557317677311527,-0.0030335079288724073,0.0030335079288724073,9.202170354531762e-06,1,1
direct_q_continuous_observation,10455,0.05,64,5,0.019184763019581264,0.015150030774424823,0.015815952925662766,0.002234094389297968,0.040988944186787855,0.00018031620007135206,0.05827467673785254,0.11228212722476247,-0.03081523698041874,0.03081523698041874,0.0009495788301593666,0,1
direct_q_continuous_observation,10456,0.05,64,5,0.050426835774049335,0.04820063317683421,0.026845914646908393,0.016134940968368133,0.0862015498423728,0.0051541365577152404,0.10772012072939094,0.19058708748167114,0.000426835774049332,0.000426835774049332,1.8218877800829238e-07,1,1
direct_q_continuous_observation,10457,0.05,64,5,0.046966492071127595,0.044507721989326204,0.026139659985547584,0.013775322633757402,0.08198512742828415,0.004067769740530893,0.10332494942183561,0.18557317677311527,-0.0030335079288724073,0.0030335079288724073,9.202170354531762e-06,1,1
