alternative,J,K,C_true,n,RMSE,mean_abs_error,mean_bias,median_contraction,coverage_80,coverage_95,median_post_sd
latent_leaf_continuous_propensity,4,1,0.1,200,0.07535901696032835,0.05394736011713963,0.05394736011713963,0.8831438530287008,1.0,1.0,0.12439879748742369
latent_leaf_continuous_propensity,4,1,0.25,200,0.09362634632531588,0.08510614695045636,-0.07026028716531187,0.8831438530287008,0.825,1.0,0.12439879748742369
latent_leaf_continuous_propensity,4,1,0.5,200,0.27072854372192456,0.25871823578811326,-0.25871823578811326,1.0699520162082643,0.355,0.72,0.15071241647562822
latent_leaf_continuous_propensity,4,1,0.75,200,0.4687952501830697,0.46205993640902304,-0.46205993640902304,1.204662004295965,0.0,0.0,0.16968753640675288
latent_leaf_continuous_propensity,4,5,0.05,200,0.09895911135962411,0.08880109566196412,0.08880109566196412,0.6833779260560033,0.92,1.0,0.09625996029896347
latent_leaf_continuous_propensity,4,5,0.1,200,0.07142419018163228,0.04910227711115742,0.04910227711115742,0.8834660719916871,0.98,1.0,0.1244441849420107
latent_leaf_continuous_propensity,4,5,0.25,200,0.09811335505904989,0.08383624119813804,-0.06612335132954833,0.8835220687702586,0.735,1.0,0.12445207259462085
latent_leaf_continuous_propensity,4,5,0.5,200,0.2735268042530098,0.258885069255921,-0.258885069255921,1.0667924352991172,0.32,0.63,0.15026736093420742
latent_leaf_continuous_propensity,4,5,0.75,200,0.4492325759077587,0.43990135240612305,-0.43990135240612305,1.1749621158070669,0.0,0.225,0.16550403855319376
latent_leaf_continuous_propensity,4,20,0.05,200,0.11144390477743146,0.0973621896629318,0.0973621896629318,0.8835040323969198,0.865,1.0,0.12444953200834297
latent_leaf_continuous_propensity,4,20,0.1,200,0.06749352911943121,0.04551676639742966,0.04551676639742966,0.8835040323969195,0.985,1.0,0.12444953200834294
latent_leaf_continuous_propensity,4,20,0.25,200,0.0902579941245805,0.0733567047546801,-0.057485890929106366,0.8835040323969199,0.775,1.0,0.124449532008343
latent_leaf_continuous_propensity,4,20,0.5,200,0.259710799290346,0.2455057695712993,-0.2455057695712993,1.0667923543465605,0.335,0.71,0.1502673495313078
latent_leaf_continuous_propensity,4,20,0.75,200,0.43441986504275276,0.4267434363738781,-0.4267434363738781,1.174961798639022,0.0,0.23,0.16550399387720666
latent_leaf_continuous_propensity,16,1,0.05,200,0.08748680562542982,0.06900640033280844,0.06900640033280844,0.6057125618768414,0.94,0.975,0.08532009146878705
latent_leaf_continuous_propensity,16,1,0.1,200,0.05945220641781552,0.041361962567052775,0.02671271601448657,0.6057125618768414,0.985,0.995,0.08532009146878705
latent_leaf_continuous_propensity,16,1,0.25,200,0.10380844043668458,0.08846568477081916,-0.0546056983174352,0.7986835755853727,0.745,0.965,0.11250180368129374
latent_leaf_continuous_propensity,16,1,0.5,200,0.1955086884352632,0.16992768370891007,-0.16497333833418837,0.9365096188275854,0.56,0.74,0.13191584815771917
latent_leaf_continuous_propensity,16,1,0.75,200,0.27052861965762526,0.2523992092112959,-0.2523992092112959,0.9365096188275854,0.225,0.58,0.13191584815771917
latent_leaf_continuous_propensity,16,5,0.05,200,0.07054073212639426,0.05311497643763689,0.053066532513729225,0.5142387258282934,0.925,0.985,0.07243517451332555
latent_leaf_continuous_propensity,16,5,0.1,200,0.06323147990313889,0.04355150506264835,0.022220016257716878,0.6145687470509578,0.94,0.99,0.08656756523221507
latent_leaf_continuous_propensity,16,5,0.25,200,0.09569545553620155,0.07910713226489205,-0.04414721843051638,0.7772792301864282,0.745,0.98,0.10948680808402764
latent_leaf_continuous_propensity,16,5,0.5,200,0.16415129447712254,0.14064249777983193,-0.13137900681919315,0.8729100963208041,0.625,0.91,0.12295728031683446
latent_leaf_continuous_propensity,16,5,0.75,200,0.23895342480913942,0.22449000559244375,-0.22449000559244375,0.8697576249472958,0.195,0.695,0.12251322621779606
latent_leaf_continuous_propensity,16,20,0.05,200,0.07122515890266608,0.05505218078676812,0.054992309635502,0.5142238761457327,0.935,0.985,0.07243308280125929
latent_leaf_continuous_propensity,16,20,0.1,200,0.06031005190126408,0.043467832857286975,0.02429119024249039,0.614615739220139,0.95,1.0,0.0865741845041688
latent_leaf_continuous_propensity,16,20,0.25,200,0.09461681097355057,0.07991133741759797,-0.054282207610861805,0.7772674930879069,0.735,0.97,0.10948515480756871
latent_leaf_continuous_propensity,16,20,0.5,200,0.16173850201591047,0.13520543387432687,-0.1236037021915144,0.8728757840843203,0.625,0.925,0.12295244712805888
latent_leaf_continuous_propensity,16,20,0.75,200,0.2342488258512227,0.2155980187087896,-0.2155980187087896,0.8518116543387475,0.275,0.68,0.11998537398195482
latent_leaf_continuous_propensity,64,1,0.05,200,0.04752953807093189,0.033775442835979115,0.02898687245746658,0.3448868932053542,0.89,0.985,0.04858043753210077
latent_leaf_continuous_propensity,64,1,0.1,200,0.049830777696463414,0.03765267231688624,0.006826222008972676,0.4075582175024493,0.865,0.985,0.057408260261960865
latent_leaf_continuous_propensity,64,1,0.25,200,0.07215516269570688,0.05846436188710757,-0.028232714189256006,0.5272165598582796,0.805,0.955,0.0742632197879261
latent_leaf_continuous_propensity,64,1,0.5,200,0.09308594476845566,0.07494847341453703,-0.051650510938818645,0.5687769208308752,0.73,0.91,0.08011737243859979
latent_leaf_continuous_propensity,64,1,0.75,200,0.11300659119896161,0.09602449930599892,-0.09382537060227769,0.5397581484648941,0.48,0.79,0.07602981594991526
latent_leaf_continuous_propensity,64,5,0.05,200,0.04888736584614779,0.03513989207496353,0.02701920870652107,0.3165460494954574,0.85,0.96,0.04458837342476489
latent_leaf_continuous_propensity,64,5,0.1,200,0.044911186468271753,0.036945079150224734,0.004799015732357658,0.3712622107557595,0.865,0.98,0.05229563950669089
latent_leaf_continuous_propensity,64,5,0.25,200,0.06826966464382213,0.05494871216580306,-0.01624752332697329,0.4723134781606301,0.775,0.94,0.06652962427218014
latent_leaf_continuous_propensity,64,5,0.5,200,0.0842308778995853,0.06535276485486521,-0.03879254754849385,0.5172447901394459,0.7,0.895,0.07285860585375188
latent_leaf_continuous_propensity,64,5,0.75,200,0.10393792322448611,0.08559351277683216,-0.08045697822186292,0.4868114531840951,0.525,0.785,0.06857179515151833
latent_leaf_continuous_propensity,64,20,0.05,200,0.03564178764637263,0.026018424736866937,0.019478681986778493,0.3153557634617425,0.895,0.995,0.04442071087380855
latent_leaf_continuous_propensity,64,20,0.1,200,0.04666784543659278,0.03675093484342585,0.004808432206085857,0.3701803762446192,0.855,0.97,0.05214325333335716
latent_leaf_continuous_propensity,64,20,0.25,200,0.06775767012606394,0.05322861634559013,-0.025451955616354018,0.4711282985497843,0.795,0.915,0.0663626810070595
latent_leaf_continuous_propensity,64,20,0.5,200,0.08494298608033453,0.07075962593436592,-0.04464011372804997,0.5159992628358332,0.64,0.905,0.07268316207041375
latent_leaf_continuous_propensity,64,20,0.75,200,0.09207511057108483,0.07723847443740228,-0.07214756015102235,0.48479010483574836,0.53,0.85,0.06828706995870272
