part,alternative,beta_gap_regime,beta_pres,beta_abs,J,K,C,KL_1_to_0_per_leaf,KL_0_to_1_per_leaf,E_R1_log_B,E_R0_log_B,required_log_B_for_rho_0_50,required_log_B_for_rho_0_80,required_log_B_for_rho_0_95,required_log_B_for_rho_0_05,I_total,I_total_over_prior_precision,prior_precision_scale,approximate_contraction
binary_root_separation,,extreme,0.95,0.05,4,20,,2.649995040846286,2.6499950408462807,10.599980163385144,-10.599980163385123,1.6094379124341005,2.9957322735539913,4.55387689160054,-1.3350010667323398,,,,
binary_root_separation,,extreme,0.95,0.05,16,20,,2.649995040846286,2.6499950408462807,42.399920653540576,-42.39992065354049,1.6094379124341005,2.9957322735539913,4.55387689160054,-1.3350010667323398,,,,
binary_root_separation,,extreme,0.95,0.05,64,20,,2.649995040846286,2.6499950408462807,169.5996826141623,-169.59968261416196,1.6094379124341005,2.9957322735539913,4.55387689160054,-1.3350010667323398,,,,
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,4,1,0.05,,,,,,,,,14.298323036187112,0.28369688563863316,50.400000000000006,0.882609822187686
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,4,5,0.05,,,,,,,,,71.49161518093555,1.4184844281931657,50.400000000000006,0.6430257317193446
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,4,20,0.05,,,,,,,,,285.9664607237422,5.673937712772663,50.400000000000006,0.3870873024242691
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,16,1,0.05,,,,,,,,,57.19329214474845,1.1347875425545326,50.400000000000006,0.6844199655680759
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,16,5,0.05,,,,,,,,,285.9664607237422,5.673937712772663,50.400000000000006,0.3870873024242691
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,16,20,0.05,,,,,,,,,1143.8658428949689,22.69575085109065,50.400000000000006,0.20543042403590198
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,64,1,0.05,,,,,,,,,228.7731685789938,4.5391501702181305,50.400000000000006,0.4248918788806205
