dgp,fit,leaf,nuisance_truth,design,estimand,parameter,kind,support,demandingness,truth,posterior_mean,posterior_median,posterior_p03,posterior_p97,signed_error,abs_error,squared_error,interval_includes_truth
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__strong_support__weakly_demanding,beta_abs,strong support,weakly demanding,0.32993929915827946,0.11664125287782146,0.1136502726320884,0.06937542449303226,0.1773003723073378,-0.21628902652619106,0.21628902652619106,0.046780942995647376,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__strong_support__weakly_undemanding,beta_abs,strong support,weakly undemanding,0.3969036303573165,0.11684797613159251,0.11292800402828658,0.06599032573293058,0.19016230237755202,-0.28397562632902995,0.28397562632902995,0.08064215634896485,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__weak_support__moderately_demanding,beta_abs,weak support,moderately demanding,0.2332959659893026,0.09751567042207446,0.09538039385202948,0.057387535893094886,0.15290773188813653,-0.13791557213727312,0.13791557213727312,0.019020705037951387,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__weak_support__moderately_undemanding,beta_abs,weak support,moderately undemanding,0.6298719913082595,0.11372510461943883,0.11077420057778398,0.06514963076707297,0.1789013924370235,-0.5190977907304756,0.5190977907304756,0.2694625163412606,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__weak_support__neutral,beta_abs,weak support,neutral,0.43417415120952235,0.10742895459148248,0.10376773845383991,0.061760506810205465,0.1681446178748943,-0.33040641275568244,0.33040641275568244,0.10916839759007839,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__weak_support__strongly_undemanding,beta_abs,weak support,strongly undemanding,0.869159106691928,0.11355741127426748,0.11044810585263018,0.06510880404052284,0.17824489746544786,-0.7587110008392978,0.7587110008392978,0.5756423827945689,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__weak_support__weakly_undemanding,beta_abs,weak support,weakly undemanding,0.5258744494348768,0.11055817845347565,0.10726879243894025,0.06277085760421913,0.17482506235210588,-0.41860565699593655,0.41860565699593655,0.1752306960689997,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__weak_undermining__neutral,beta_abs,weak undermining,neutral,0.4870543563304338,0.10601058030834218,0.10276161601204747,0.06112154341027,0.16681645469756712,-0.38429274031838634,0.38429274031838634,0.14768091026141472,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_pres__moderate_support__moderately_demanding,beta_pres,moderate support,moderately demanding,0.7999235885736562,0.8541351053509284,0.8547934019430703,0.7728828619718259,0.9282597073912294,0.0548698133694141,0.0548698133694141,0.0030106964191943344,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_pres__moderate_support__moderately_undemanding,beta_pres,moderate support,moderately undemanding,0.8888837493824054,0.8920886352649243,0.8956381306149788,0.8306913153478984,0.9374132706471879,0.0067543812325733255,0.0067543812325733255,4.5621665834938755e-05,True
