dgp,fit,leaf,design,nuisance_truth,estimand,system,node_key,node_name,node_type,top_feature,depth,fanout,subtree_indicator_count,subtree_rating_count,z_true,prior_p_z1,posterior_p_z1,prior_entropy,posterior_entropy,entropy_reduction,relative_entropy_reduction,brier,log_score,neg_log_score
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Chicken,Global Workspace Theory > Coherence > Autonomous Subparts,Autonomous Subparts,feature,Coherence,2,5,5,9,1,0.4787707546538875,0.9914096671693605,0.6922455478308942,0.049418555007795836,0.6428269928230984,0.9286112346079428,7.37938181411625e-05,-0.008627442415001435,0.008627442415001435
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Chicken,Global Workspace Theory > Coherence > Point of View,Point of View,feature,Coherence,2,2,2,4,0,0.4558041115867013,0.00949788987245347,0.6892355244371345,0.053681328658651314,0.6355541957784833,0.9221146810410125,9.020991202925418e-05,-0.009543282479776913,0.009543282479776913
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Chicken,Global Workspace Theory > Coherence > Common Representational Scheme,Common Representational Scheme,feature,Coherence,2,3,3,6,0,0.4144761687642246,0.013502868118133025,0.6784463485349768,0.07153915580426005,0.6069071927307167,0.8945544390374562,0.0001823274474156933,-0.013594860891289017,0.013594860891289017
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Chicken,Global Workspace Theory > Coherence > Social Coherence,Social Coherence,feature,Coherence,2,3,3,6,0,0.5117003969002362,0.09279134138587418,0.6928733569906709,0.3089488366551807,0.3839245203354902,0.5541048973263659,0.008610233036189846,-0.09738280172645615,0.09738280172645615
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Chicken,Global Workspace Theory > Modularity,Modularity,feature,Modularity,1,6,6,12,0,0.3149839245356485,0.00022572835020122286,0.6230305047802276,0.0021209583409562407,0.6209095464392713,0.9965957391737914,5.095328808456591e-08,-0.00022575383067974066,0.00022575383067974066
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Chicken,Global Workspace Theory > Complexity,Complexity,feature,Complexity,1,3,8,15,0,0.5278081384382017,0.009470672074369715,0.6915997971365085,0.053554804266896974,0.6380449928696116,0.9225638808908929,8.969362954024636e-05,-0.009515804068720246,0.009515804068720246
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Chicken,Global Workspace Theory > Complexity > Functional Diversity,Functional Diversity,feature,Complexity,2,2,2,4,0,0.5316539981259888,0.0023449597903651663,0.6911418886078069,0.016542081803360274,0.6745998068044466,0.9760655777402212,5.498836418429444e-06,-0.002347713514331353,0.002347713514331353
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Chicken,Global Workspace Theory > Complexity > Informational Complexity,Informational Complexity,feature,Complexity,2,4,2,3,0,0.5586407380702518,0.51789135600473,0.6862538543033446,0.6925068426313412,-0.006252988327996589,-0.00911177152417505,0.26821145662441803,-0.7295857878510458,0.7295857878510458
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Chicken,Global Workspace Theory > Complexity > Informational Complexity > Efficient Problem-Solving,Efficient Problem-Solving,feature,Complexity,3,0,0,0,1,0.5902438985227401,0.5139900014164511,0.6767696531529003,0.6927556891895156,-0.015986036036615303,-0.023621088744361345,0.2362057187231812,-0.665551466213351,0.665551466213351
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Chicken,Global Workspace Theory > Complexity > Informational Complexity > Efficient Network Topology,Efficient Network Topology,feature,Complexity,3,0,0,0,0,0.6243603310887775,0.5207995221012386,0.661889124717298,0.6922816906008802,-0.03039256588358219,-0.045917910944016906,0.2712321422208785,-0.7356362348968342,0.7356362348968342
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Chicken,Global Workspace Theory > Complexity > Structural Complexity,Structural Complexity,feature,Complexity,2,4,4,8,0,0.46911370538966596,0.0013823962993335468,0.6912380389202146,0.01048305026735006,0.6807549886528645,0.9848343845721719,1.911019528411085e-06,-0.0013833526906072227,0.0013833526906072227
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Chicken,Global Workspace Theory > Selective Attention,Selective Attention,feature,Selective Attention,1,5,12,24,0,0.3782271175231424,0.0005976194553257507,0.6631895406177672,0.00503330493954769,0.6581562356782196,0.99241045789887,3.5714901338384697e-07,-0.0005977981010107665,0.0005977981010107665
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Chicken,Global Workspace Theory > Selective Attention > Non-Linear Capabilities,Non-Linear Capabilities,feature,Selective Attention,2,2,2,4,0,0.5680426935865732,0.010664182278484853,0.6838587702562228,0.05903172450388824,0.6248270457523345,0.9136784858637248,0.00011372478366875039,-0.010721452192090463,0.010721452192090463
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Chicken,Global Workspace Theory > Selective Attention > Adaptive Focus,Adaptive Focus,feature,Selective Attention,2,3,3,6,0,0.4615001226076063,0.0002502091562637348,0.6901797630892915,0.0023252157700691823,0.6878545473192224,0.9966309997852424,6.260462187821006e-08,-0.0002502404637970611,0.0002502404637970611
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Chicken,Global Workspace Theory > Selective Attention > Attention-Constrained Architecture,Attention-Constrained Architecture,feature,Selective Attention,2,2,2,4,0,0.4621422000791051,0.002326358115802977,0.6902780094310397,0.016429409126533148,0.6738486003045066,0.9761988519088489,5.411942082962378e-06,-0.0023290682908854946,0.0023290682908854946
