dgp,fit,leaf,nuisance_truth,design,estimand,parameter,kind,support,demandingness,truth,posterior_mean,posterior_median,posterior_p03,posterior_p97,signed_error,abs_error,squared_error,interval_includes_truth
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__strong_support__weakly_demanding,beta_abs,strong support,weakly demanding,0.32993929915827946,0.10075741753197795,0.09769766799732611,0.05833378082921989,0.1591581609713884,-0.23224163116095337,0.23224163116095337,0.053936175244300305,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__strong_support__weakly_undemanding,beta_abs,strong support,weakly undemanding,0.3969036303573165,0.10184509507925592,0.09866431588123642,0.05973385884458705,0.15741697937261293,-0.2982393144760801,0.2982393144760801,0.0889466886991622,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__weak_support__moderately_demanding,beta_abs,weak support,moderately demanding,0.2332959659893026,0.09967036123347313,0.09641744758904253,0.05759003733081978,0.15593464063176013,-0.13687851840026008,0.13687851840026008,0.018735728799450336,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__weak_support__moderately_undemanding,beta_abs,weak support,moderately undemanding,0.6298719913082595,0.10489510772218565,0.10151302014798222,0.06037306522472878,0.16857047666100594,-0.5283589711602773,0.5283589711602773,0.27916320240554676,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__weak_support__neutral,beta_abs,weak support,neutral,0.43417415120952235,0.10572524099221699,0.10267383989502363,0.06110819869661168,0.165934650177358,-0.33150031131449875,0.33150031131449875,0.10989245640160959,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__weak_support__strongly_undemanding,beta_abs,weak support,strongly undemanding,0.869159106691928,0.10410459359979153,0.10091764622699556,0.06063315504995262,0.1639137247000303,-0.7682414604649324,0.7682414604649324,0.5901949415772922,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__weak_support__weakly_undemanding,beta_abs,weak support,weakly undemanding,0.5258744494348768,0.10612550428305778,0.10329425654244094,0.06107683109946407,0.16522274027847333,-0.42258019289243587,0.42258019289243587,0.1785740194250083,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__weak_undermining__neutral,beta_abs,weak undermining,neutral,0.4870543563304338,0.1089444457814063,0.10536271100408463,0.06264726099678408,0.17211729241062257,-0.3816916453263492,0.3816916453263492,0.14568851211193554,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_pres__moderate_support__moderately_demanding,beta_pres,moderate support,moderately demanding,0.7999235885736562,0.8828529712747952,0.8871577573837168,0.814749304784386,0.9323436374929457,0.08723416881006063,0.08723416881006063,0.007609800207982155,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_pres__moderate_support__moderately_undemanding,beta_pres,moderate support,moderately undemanding,0.8888837493824054,0.8891362785163457,0.8925110008649675,0.8250014238830334,0.9361310828812022,0.003627251482562044,0.003627251482562044,1.3156953317748545e-05,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_pres__moderate_support__neutral,beta_pres,moderate support,neutral,0.800070964229312,0.8965198063366859,0.9000080975762854,0.8378911757457727,0.9393618187629965,0.0999371333469734,0.0999371333469734,0.009987430621610744,False
